date,symbol,rsi,atr,volume_spike,signal
2020-07-31,MSFT,60.3918,5.63765,0,HOLD
2020-08-11,GOOG,65.3675,1.73257,0,HOLD
2020-08-12,GOOG,68.3451,1.76128,0,HOLD
2020-08-03,MSFT,44.2987,5.83132,1,HOLD
2020-08-04,MSFT,45.042,5.80882,0,HOLD
2020-08-13,GOOG,46.8048,1.59892,0,HOLD
2020-08-14,GOOG,49.9821,1.59895,0,HOLD
2020-08-05,MSFT,38.9689,5.6922,0,HOLD
2020-08-06,MSFT,41.1949,5.69493,0,HOLD
2020-08-17,GOOG,53.3132,1.57506,0,HOLD
2020-08-18,GOOG,43.4352,1.53744,0,HOLD
2020-08-07,MSFT,39.4472,5.77472,0,HOLD
2020-08-10,MSFT,52.4156,5.37374,0,HOLD
2020-08-19,GOOG,33.3471,1.55342,0,BUY
2020-08-11,MSFT,52.4733,5.34782,0,HOLD
2020-08-12,MSFT,52.3115,5.30691,0,HOLD
2020-07-02,AAPL,37.301,2.40151,0,HOLD
2020-07-06,AAPL,27.5229,2.26791,0,HOLD
2020-08-13,MSFT,38.2797,4.96798,0,HOLD
2020-08-14,MSFT,40.4356,4.82136,0,HOLD
2020-07-07,AAPL,32.6323,2.04346,0,HOLD
2020-07-08,AAPL,33.7989,1.97354,0,HOLD
2020-08-17,MSFT,41.8636,4.75181,0,HOLD
2020-08-18,MSFT,39.039,4.70475,0,HOLD
2020-07-09,AAPL,26.3631,2.04934,0,HOLD
2020-07-10,AAPL,31.3651,2.06942,0,HOLD
2020-08-19,MSFT,34.9715,4.67066,0,BUY
2020-07-13,AAPL,25.2037,2.04917,0,HOLD
2020-07-14,AAPL,39.4938,2.18087,0,HOLD
2020-07-15,AAPL,32.5478,2.35981,0,HOLD
2020-08-20,MSFT,41.9694,4.53201,0,HOLD
2020-08-21,MSFT,45.5865,4.0952,0,HOLD
2020-07-16,AAPL,36.4255,2.37296,0,HOLD
2020-07-17,AAPL,37.2204,2.34821,0,HOLD
2020-08-24,MSFT,48.1415,3.83662,0,HOLD
2020-08-25,MSFT,52.0322,3.73484,0,HOLD
2020-07-20,AAPL,30.5214,2.22586,0,HOLD
2020-07-21,AAPL,29.0584,2.25268,0,HOLD
2020-08-26,MSFT,41.0374,3.82769,0,HOLD
2020-08-27,MSFT,38.2018,3.87703,0,HOLD
2020-07-22,AAPL,38.2706,2.32623,0,HOLD
2020-07-23,AAPL,38.9072,2.35305,0,HOLD
2020-08-28,MSFT,27.8302,4.35496,0,HOLD
2020-08-31,MSFT,20.9992,4.25538,0,HOLD
2020-07-24,AAPL,52.6848,2.65642,0,HOLD
2020-07-27,AAPL,50.2412,2.87015,0,HOLD
2020-09-01,MSFT,20.1442,4.24792,0,HOLD
2020-09-02,MSFT,21.1693,4.1128,0,HOLD
2020-07-28,AAPL,49.6861,2.85821,0,HOLD
2020-07-29,AAPL,54.423,2.79799,0,HOLD
2020-09-03,MSFT,18.7612,4.27124,0,HOLD
2020-09-04,MSFT,43.6065,5.10967,0,HOLD
2020-07-30,AAPL,52.0555,2.78916,0,HOLD
2020-07-31,AAPL,41.8973,3.24309,1,HOLD
2020-09-08,MSFT,53.2233,5.85517,0,HOLD
2020-09-09,MSFT,53.5839,6.17561,0,HOLD
2020-08-03,AAPL,32.2198,3.39953,1,HOLD
2020-08-04,AAPL,35.2376,3.30487,0,HOLD
2020-09-10,MSFT,46.6793,6.53723,0,HOLD
2020-09-11,MSFT,55.5501,6.84758,0,HOLD
2020-08-05,AAPL,30.0824,3.28029,0,HOLD
2020-08-06,AAPL,29.5293,3.28082,0,HOLD
2020-09-14,MSFT,58.5039,7.12034,0,HOLD
2020-09-15,MSFT,53.6268,7.26253,0,HOLD
2020-08-07,AAPL,25.8687,3.50977,0,HOLD
2020-08-10,AAPL,29.3837,3.52906,0,HOLD
2020-09-16,MSFT,55.8605,7.18802,0,HOLD
